,Model,Accuracy
0,All Correct,53.46682606096832
1,MNB,69.57561267184698
2,SVM,68.38015540944411
3,Stemmed MNB,63.77764494919307
4,SVM_Stemmed,69.69515839808727
5,LDA,7.830245068738793
